Baf Queed
Baiz Riv
Biz Teez
Bun Cayt
Cayt Bun
Ckayf Ler
Ckayl Nuq
Ckayqu Nel
Ckeem Dog
Ckeen Lev
Ck'l Jeel
Ckuj Kuc
Cuqu Sah
D'd Nan
Din K'st
Dog Ckeem
Fal Thux
G'r Jem
Haiw His
Hih Zayck
His Haiw
Jaick W'n
Jaiz L'g
Jeel Ck'l
Jeex Reew
Jef Nah
Jem G'r
Kaist Zayw
Kath Theec
Kaym Quej
Kix Num
K'st Din
Kuc Ckuj
Ler Ckayf
Lev Ckeen
L'g Jaiz
Mec Rev
Nah Jef
Nan D'd
Nayx Steeh
Neej Neg
Neg Neej
Nel Ckayqu
Num Kix
Nuq Ckayl
Qam Tas
Qin Vuz
Quar Wik
Quax Sar
Quaz Reej
Queed Baf
Queej Tayy
Quej Kaym
Quim Sur
Quow Zib
Rac Tog
Reej Quaz
Reew Jeex
Rev Mec
Riv Baiz
Ruz Xag
Sah Cuqu
Saqu Yeb
Sar Quax
Staz Xaij
Steeh Nayx
Sur Quim
Tas Qam
Tayy Queej
Teez Biz
Theec Kath
Thux Fal
Tog Rac
Tul Xun
V'b W'th
Vuz Qin
Wik Quar
W'n Jaick
W'th V'b
Xag Ruz
Xaij Staz
Xun Tul
Yayqu Zaiq
Yeb Saqu
Zaiq Yayqu
Zayck Hih
Zayw Kaist
Zib Quow
